,Create At,Name,Price
151,2022-03-22 15:44:55.158474,Rhea Mini Logo Backpack,3100.00
152,2022-03-22 15:44:55.158548,Voyager Medium Color-Block Logo Tote Bag,4050.00
153,2022-03-22 15:44:55.158620,Mina Small Pebbled Leather Crossbody Bag,4860.00
154,2022-03-22 15:44:55.158693,Mina Small Logo Crossbody Bag,4450.00
155,2022-03-22 15:44:55.158766,Jet Set Medium Leather and Logo 4-in-1 Crossbody Bag Set,3500.00
156,2022-03-22 15:44:55.158839,Bradshaw Medium Logo Camera Bag,3500.00
157,2022-03-22 15:44:55.158912,Greenwich Extra-Small Studded Patent Leather Crossbody Bag,5400.00
158,2022-03-22 15:44:55.158984,Greenwich Extra-Small Logo Embossed Patent Leather Crossbody Bag,4050.00
159,2022-03-22 15:44:55.159062,Slater Medium Pebbled Leather Sling Pack,3370.00
160,2022-03-22 15:44:55.159139,Karlie Medium Leather Satchel,6760.00
161,2022-03-22 15:44:55.159213,Hally Extra-Small Embellished Logo Crossbody Bag,4100.00
162,2022-03-22 15:44:55.159298,Hamilton Legacy Large Logo and Leather Belted Satchel,8720.00
163,2022-03-22 15:44:55.159372,SoHo Large Studded Logo Shoulder Bag,5400.00
164,2022-03-22 15:44:55.159447,Bradshaw Medium Leather Messenger Bag,4600.00
165,2022-03-22 15:44:55.159520,Bradshaw Medium Leather Camera Bag,3800.00
166,2022-03-22 15:44:55.159592,Bradshaw Medium Logo and Leather Messenger Bag,4600.00
167,2022-03-22 15:44:55.159669,Lina Extra-Small Faux Leather Crossbody Bag,3720.00
168,2022-03-22 15:44:55.159747,Hally Extra-Small Embellished Leather Crossbody Bag,4100.00
169,2022-03-22 15:44:55.159820,Nouveau Hamilton Small Logo and Leather Satchel,4860.00
170,2022-03-22 15:44:55.159899,Lina Extra-Small Faux Leather Crossbody Bag,3720.00
171,2022-03-22 15:44:55.159972,Sinclair Extra-Small Pebbled Leather Crossbody Bag,2700.00
172,2022-03-22 15:44:55.160049,SoHo Small Studded Quilted Patent Leather Shoulder Bag,5100.00
173,2022-03-22 15:44:55.160128,SoHo Small Studded Quilted Patent Leather Shoulder Bag,5100.00 -  6220.00
